year,countyfips,State,est,naics
2009,01003,AL,3,623220
2010,01003,AL,3,623220
2012,01003,AL,1,623220
2013,01003,AL,1,623220
2014,01003,AL,1,623220
2015,01003,AL,5,623220
2016,01003,AL,5,623220
2009,01005,AL,1,623220
2012,01007,AL,1,623220
2013,01007,AL,1,623220
2014,01007,AL,1,623220
2015,01007,AL,1,623220
2016,01007,AL,1,623220
2009,01015,AL,2,623220
2010,01015,AL,1,623220
2011,01015,AL,1,623220
2012,01015,AL,1,623220
2013,01015,AL,1,623220
2014,01015,AL,1,623220
2015,01015,AL,1,623220
2016,01015,AL,1,623220
2009,01021,AL,2,623220
2010,01021,AL,1,623220
2011,01021,AL,1,623220
2009,01025,AL,1,623220
2012,01027,AL,1,623220
2013,01027,AL,1,623220
2014,01027,AL,2,623220
2015,01027,AL,2,623220
2016,01027,AL,1,623220
2009,01031,AL,1,623220
2010,01031,AL,2,623220
2011,01031,AL,2,623220
2012,01031,AL,2,623220
2013,01031,AL,2,623220
2014,01031,AL,2,623220
2015,01031,AL,1,623220
2016,01031,AL,1,623220
2012,01033,AL,1,623220
2013,01033,AL,1,623220
2014,01033,AL,1,623220
2015,01033,AL,1,623220
2016,01033,AL,1,623220
2009,01035,AL,1,623220
2011,01037,AL,1,623220
2012,01037,AL,1,623220
2013,01037,AL,1,623220
2014,01037,AL,1,623220
2015,01037,AL,1,623220
2016,01037,AL,1,623220
2009,01043,AL,2,623220
2010,01043,AL,1,623220
2011,01043,AL,1,623220
2012,01043,AL,1,623220
2013,01043,AL,1,623220
2014,01043,AL,1,623220
2015,01043,AL,1,623220
2016,01043,AL,1,623220
2009,01045,AL,2,623220
2009,01047,AL,2,623220
2010,01047,AL,2,623220
2011,01047,AL,2,623220
2009,01049,AL,1,623220
2012,01049,AL,1,623220
2013,01049,AL,2,623220
2014,01049,AL,2,623220
2015,01049,AL,2,623220
2016,01049,AL,2,623220
2016,01053,AL,2,623220
2009,01055,AL,3,623220
2010,01055,AL,3,623220
2011,01055,AL,4,623220
2012,01055,AL,3,623220
2013,01055,AL,3,623220
2014,01055,AL,2,623220
2015,01055,AL,2,623220
2016,01055,AL,2,623220
2009,01057,AL,4,623220
2010,01057,AL,3,623220
2011,01057,AL,3,623220
2012,01057,AL,3,623220
2013,01057,AL,3,623220
2014,01057,AL,4,623220
2015,01057,AL,4,623220
2016,01057,AL,4,623220
2009,01061,AL,1,623220
2009,01067,AL,1,623220
2009,01069,AL,8,623220
