State,Year,State.ABBR,Prescribing.Rate
Alabama,2006,AL,115.6
Alabama,2007,AL,120.3
Alabama,2008,AL,126.1
Alabama,2009,AL,131.6
Alabama,2010,AL,134.3
Alabama,2011,AL,136.6
Alabama,2012,AL,143.8
Alabama,2013,AL,142.4
Alabama,2014,AL,135.2
Alabama,2015,AL,125
Alabama,2016,AL,121
Alaska,2006,AK,63.4
Alaska,2007,AK,66.6
Alaska,2008,AK,68.5
Alaska,2009,AK,67.3
Alaska,2010,AK,68.4
Alaska,2011,AK,68
Alaska,2012,AK,66.8
Alaska,2013,AK,63.7
Alaska,2014,AK,62.7
Alaska,2015,AK,60.8
Alaska,2016,AK,58.9
Arizona,2006,AZ,74.3
Arizona,2007,AZ,77.8
Arizona,2008,AZ,80.9
Arizona,2009,AZ,84.2
Arizona,2010,AZ,88.5
Arizona,2011,AZ,88.6
Arizona,2012,AZ,85.3
Arizona,2013,AZ,80.4
Arizona,2014,AZ,79.7
Arizona,2015,AZ,75.5
Arizona,2016,AZ,70.2
Arkansas,2006,AR,98.3
Arkansas,2007,AR,108.2
Arkansas,2008,AR,112.1
Arkansas,2009,AR,116
Arkansas,2010,AR,120.8
Arkansas,2011,AR,115.2
Arkansas,2012,AR,121.8
Arkansas,2013,AR,120.9
Arkansas,2014,AR,123.2
Arkansas,2015,AR,117.2
Arkansas,2016,AR,114.6
California,2006,CA,51
California,2007,CA,53.6
California,2008,CA,55.1
California,2009,CA,55.6
California,2010,CA,55.8
California,2011,CA,55.9
California,2012,CA,56.4
California,2013,CA,54.4
California,2014,CA,52.7
California,2015,CA,47.7
California,2016,CA,44.8
Colorado,2006,CO,62.2
Colorado,2007,CO,65.9
Colorado,2008,CO,67.7
Colorado,2009,CO,69.8
Colorado,2010,CO,72
Colorado,2011,CO,73
Colorado,2012,CO,73.5
Colorado,2013,CO,71.2
Colorado,2014,CO,69.6
Colorado,2015,CO,65.1
Colorado,2016,CO,59.8
Connecticut,2006,CT,64.7
Connecticut,2007,CT,67.5
Connecticut,2008,CT,68.7
Connecticut,2009,CT,68.1
Connecticut,2010,CT,68.6
Connecticut,2011,CT,69.1
Connecticut,2012,CT,69.3
Connecticut,2013,CT,67.4
Connecticut,2014,CT,66
Connecticut,2015,CT,62.3
Connecticut,2016,CT,55.9
Delaware,2006,DE,86.6
Delaware,2007,DE,92.3
Delaware,2008,DE,95.4
Delaware,2009,DE,97.5
Delaware,2010,DE,101.1
Delaware,2011,DE,99.7
Delaware,2012,DE,94
Delaware,2013,DE,92.7
Delaware,2014,DE,91
Delaware,2015,DE,84.4
Delaware,2016,DE,79.2
District of Columbia,2006,DC,31.7
District of Columbia,2007,DC,41.2
District of Columbia,2008,DC,34.5
District of Columbia,2009,DC,34.4
District of Columbia,2010,DC,37.1
District of Columbia,2011,DC,39.8
District of Columbia,2012,DC,40.3
District of Columbia,2013,DC,41.1
District of Columbia,2014,DC,40.1
District of Columbia,2015,DC,35.7
District of Columbia,2016,DC,32.5
Florida,2006,FL,79.7
Florida,2007,FL,82.2
Florida,2008,FL,84.3
Florida,2009,FL,86.3
Florida,2010,FL,87.6
Florida,2011,FL,83.5
Florida,2012,FL,75.9
Florida,2013,FL,73.5
Florida,2014,FL,71.4
Florida,2015,FL,67.1
Florida,2016,FL,66.6
Georgia,2006,GA,79.8
Georgia,2007,GA,82.5
Georgia,2008,GA,86.3
Georgia,2009,GA,88.2
Georgia,2010,GA,90.2
Georgia,2011,GA,88.6
Georgia,2012,GA,89.4
Georgia,2013,GA,86.6
Georgia,2014,GA,83.8
Georgia,2015,GA,79.4
Georgia,2016,GA,77.8
Hawaii,2006,HI,42.3
Hawaii,2007,HI,44.5
Hawaii,2008,HI,46.6
Hawaii,2009,HI,47.8
Hawaii,2010,HI,50.1
Hawaii,2011,HI,50.1
Hawaii,2012,HI,50.4
Hawaii,2013,HI,49.4
Hawaii,2014,HI,47.7
Hawaii,2015,HI,44.3
Hawaii,2016,HI,41.9
Idaho,2006,ID,75.6
Idaho,2007,ID,78.8
Idaho,2008,ID,82.7
Idaho,2009,ID,85.2
Idaho,2010,ID,88.6
Idaho,2011,ID,91.4
Idaho,2012,ID,92
Idaho,2013,ID,89.2
Idaho,2014,ID,87.4
Idaho,2015,ID,81.9
Idaho,2016,ID,77.6
Illinois,2006,IL,55.6
Illinois,2007,IL,59.2
Illinois,2008,IL,60.2
Illinois,2009,IL,61
Illinois,2010,IL,63.1
Illinois,2011,IL,64.3
Illinois,2012,IL,66.1
Illinois,2013,IL,63.7
Illinois,2014,IL,62.3
Illinois,2015,IL,59.1
Illinois,2016,IL,56.8
Indiana,2006,IN,94.3
Indiana,2007,IN,99.7
Indiana,2008,IN,103.3
Indiana,2009,IN,105.6
Indiana,2010,IN,107.1
Indiana,2011,IN,106.7
Indiana,2012,IN,110.5
Indiana,2013,IN,106.3
Indiana,2014,IN,96.7
Indiana,2015,IN,89.1
Indiana,2016,IN,83.9
Iowa,2006,IA,59.3
Iowa,2007,IA,57.1
Iowa,2008,IA,59.1
Iowa,2009,IA,60.4
Iowa,2010,IA,62.3
Iowa,2011,IA,64
Iowa,2012,IA,74.1
Iowa,2013,IA,72.2
Iowa,2014,IA,72.3
Iowa,2015,IA,68.6
Iowa,2016,IA,64
Kansas,2006,KS,77.5
Kansas,2007,KS,80.6
Kansas,2008,KS,82.7
Kansas,2009,KS,82.8
Kansas,2010,KS,86.1
Kansas,2011,KS,87.8
Kansas,2012,KS,90.3
Kansas,2013,KS,88.7
Kansas,2014,KS,86.5
Kansas,2015,KS,80.5
Kansas,2016,KS,76.9
